timestamp,occupancy,is_weekend,temp_outside,energy_kwh,hour,day_of_week,date,cluster,cluster_label
2025-12-12 14:36:52.411983,52,0,30.2,20.83,14,4,2025-12-12,0,low_usage
2025-12-12 15:36:52.411983,68,0,29.3,21.05,15,4,2025-12-12,0,low_usage
2025-12-12 16:36:52.411983,33,0,28.7,20.32,16,4,2025-12-12,0,low_usage
2025-12-12 17:36:52.411983,33,0,31.1,21.37,17,4,2025-12-12,0,low_usage
2025-12-12 18:36:52.411983,22,0,24.9,17.91,18,4,2025-12-12,0,low_usage
2025-12-12 19:36:52.411983,21,0,26.0,16.34,19,4,2025-12-12,0,low_usage
2025-12-12 20:36:52.411983,2,0,23.6,10.26,20,4,2025-12-12,0,low_usage
2025-12-12 21:36:52.411983,2,0,23.2,10.37,21,4,2025-12-12,0,low_usage
2025-12-12 22:36:52.411983,1,0,22.3,10.54,22,4,2025-12-12,0,low_usage
2025-12-12 23:36:52.411983,2,0,21.4,10.4,23,4,2025-12-12,0,low_usage
2025-12-13 00:36:52.411983,1,1,19.2,10.5,0,5,2025-12-13,0,low_usage
2025-12-13 01:36:52.411983,0,1,20.1,10.85,1,5,2025-12-13,0,low_usage
2025-12-13 02:36:52.411983,1,1,21.5,10.84,2,5,2025-12-13,0,low_usage
2025-12-13 03:36:52.411983,1,1,22.1,11.59,3,5,2025-12-13,0,low_usage
2025-12-13 04:36:52.411983,1,1,24.3,11.15,4,5,2025-12-13,0,low_usage
2025-12-13 05:36:52.411983,1,1,24.4,10.28,5,5,2025-12-13,0,low_usage
2025-12-13 06:36:52.411983,0,1,25.0,11.29,6,5,2025-12-13,0,low_usage
2025-12-13 07:36:52.411983,0,1,26.3,13.1,7,5,2025-12-13,0,low_usage
2025-12-13 08:36:52.411983,1,1,26.9,13.28,8,5,2025-12-13,0,low_usage
2025-12-13 09:36:52.411983,1,1,30.4,13.46,9,5,2025-12-13,0,low_usage
2025-12-13 10:36:52.411983,2,1,31.9,13.11,10,5,2025-12-13,0,low_usage
2025-12-13 11:36:52.411983,2,1,31.3,13.45,11,5,2025-12-13,0,low_usage
2025-12-13 12:36:52.411983,2,1,30.0,12.76,12,5,2025-12-13,0,low_usage
2025-12-13 13:36:52.411983,2,1,31.3,12.8,13,5,2025-12-13,0,low_usage
2025-12-13 14:36:52.411983,3,1,32.1,13.35,14,5,2025-12-13,0,low_usage
2025-12-13 15:36:52.411983,0,1,31.1,12.85,15,5,2025-12-13,0,low_usage
2025-12-13 16:36:52.411983,0,1,28.1,13.9,16,5,2025-12-13,0,low_usage
2025-12-13 17:36:52.411983,0,1,26.3,12.64,17,5,2025-12-13,0,low_usage
2025-12-13 18:36:52.411983,1,1,26.7,13.52,18,5,2025-12-13,0,low_usage
2025-12-13 19:36:52.411983,1,1,23.1,12.51,19,5,2025-12-13,0,low_usage
2025-12-13 20:36:52.411983,1,1,21.2,11.19,20,5,2025-12-13,0,low_usage
2025-12-13 21:36:52.411983,1,1,20.6,11.24,21,5,2025-12-13,0,low_usage
2025-12-13 22:36:52.411983,1,1,21.8,10.63,22,5,2025-12-13,0,low_usage
2025-12-13 23:36:52.411983,0,1,23.2,12.22,23,5,2025-12-13,0,low_usage
2025-12-14 00:36:52.411983,0,1,20.5,10.75,0,6,2025-12-14,0,low_usage
2025-12-14 01:36:52.411983,1,1,19.6,11.01,1,6,2025-12-14,0,low_usage
2025-12-14 02:36:52.411983,1,1,21.4,10.46,2,6,2025-12-14,0,low_usage
2025-12-14 03:36:52.411983,0,1,25.0,11.26,3,6,2025-12-14,0,low_usage
2025-12-14 04:36:52.411983,1,1,23.8,11.35,4,6,2025-12-14,0,low_usage
2025-12-14 05:36:52.411983,0,1,24.2,11.4,5,6,2025-12-14,0,low_usage
2025-12-14 06:36:52.411983,1,1,25.4,11.48,6,6,2025-12-14,0,low_usage
2025-12-14 07:36:52.411983,0,1,29.0,13.17,7,6,2025-12-14,0,low_usage
2025-12-14 08:36:52.411983,0,1,28.9,12.8,8,6,2025-12-14,0,low_usage
2025-12-14 09:36:52.411983,1,1,30.7,13.27,9,6,2025-12-14,0,low_usage
2025-12-14 10:36:52.411983,2,1,31.3,12.93,10,6,2025-12-14,0,low_usage
2025-12-14 11:36:52.411983,2,1,30.8,13.26,11,6,2025-12-14,0,low_usage
2025-12-14 12:36:52.411983,3,1,28.7,13.11,12,6,2025-12-14,0,low_usage
2025-12-14 13:36:52.411983,3,1,30.5,13.26,13,6,2025-12-14,0,low_usage
2025-12-14 14:36:52.411983,3,1,31.5,13.18,14,6,2025-12-14,0,low_usage
